net,length_um
adder_inst.exp_b\[1\],25.76µm
_2416_,25.74µm
_2024_,25.7µm
_0575_,25.64µm
_0812_,25.64µm
_0638_,25.62µm
_2360_,25.6µm
adder_inst.sum_raw\[24\],25.58µm
_3139_,25.56µm
_0767_,25.54µm
_1275_,25.54µm
net7,25.5µm
_1951_,25.48µm
_3281_,25.46µm
_1636_,25.44µm
_1922_,25.44µm
_1409_,25.42µm
_2813_,25.42µm
_2079_,25.4µm
_1562_,25.38µm
adder_inst.i_a\[18\],25.38µm
_2767_,25.36µm
_3470_,25.36µm
adder_inst.man_a_r\[3\],25.3µm
net120,25.3µm
